Timestamp,Evwnt, Event Data2016-06-21 22:04:28	Boiler Initialized	0
2016-06-21 22:04:51	Start Pre-Purge	1,975132
2016-06-21 22:04:51	Start Pre-Purge	1,995391
2016-06-21 22:04:51	Start Pre-Purge	2,015562
2016-06-21 22:04:51	Start Pre-Purge	2,035870
2016-06-21 22:04:51	Start Pre-Purge	2,055973
2016-06-21 22:04:51	Start Pre-Purge	2,075982
2016-06-21 22:04:51	Start Pre-Purge	2,096997
2016-06-21 22:04:51	Start Pre-Purge	2,117009
2016-06-21 22:04:51	Start Pre-Purge	2,137022
2016-06-21 22:04:51	Start Pre-Purge	2,157035
2016-06-21 22:04:51	Start Pre-Purge	2,177051
2016-06-21 22:04:51	Start Pre-Purge	2,197062
2016-06-21 22:04:51	Start Pre-Purge	2,217078
2016-06-21 22:04:51	Start Pre-Purge	2,237091
2016-06-21 22:04:51	Start Pre-Purge	2,257111
2016-06-21 22:04:51	Start Pre-Purge	2,277117
2016-06-21 22:04:51	Start Pre-Purge	2,297133
2016-06-21 22:04:51	Start Pre-Purge	2,317273
2016-06-21 22:04:51	Start Pre-Purge	2,337589
2016-06-21 22:04:51	Start Pre-Purge	2,357655
2016-06-21 22:04:51	Start Pre-Purge	2,376828
2016-06-21 22:04:51	Start Pre-Purge	2,397161
2016-06-21 22:04:51	Start Pre-Purge	2,417425
2016-06-21 22:04:51	Start Pre-Purge	2,437509
2016-06-21 22:04:51	Start Pre-Purge	2,456760
2016-06-21 22:04:51	Start Pre-Purge	2,476891
2016-06-21 22:04:51	Start Pre-Purge	2,497169
2016-06-21 22:04:51	Start Pre-Purge	2,517410
2016-06-21 22:04:51	Start Pre-Purge	2,537580
2016-06-21 22:04:51	Start Pre-Purge	2,557745
2016-06-21 22:04:51	Start Pre-Purge	2,577940
2016-06-21 22:04:51	Start Pre-Purge	2,598289
2016-06-21 22:04:51	Start Pre-Purge	2,618513
2016-06-21 22:04:51	Start Pre-Purge	2,637717
2016-06-21 22:04:51	Start Pre-Purge	2,657729
2016-06-21 22:04:51	Start Pre-Purge	2,677812
2016-06-21 22:04:51	Start Pre-Purge	2,698946
2016-06-21 22:04:51	Start Pre-Purge	2,719207
2016-06-21 22:04:51	Start Pre-Purge	2,739525
2016-06-21 22:04:51	Start Pre-Purge	2,759738
2016-06-21 22:04:51	Start Pre-Purge	2,779978
2016-06-21 22:04:51	Start Pre-Purge	2,800053
2016-06-21 22:04:51	Start Pre-Purge	2,820296
2016-06-21 22:04:51	Start Pre-Purge	2,840674
2016-06-21 22:04:51	Start Pre-Purge	2,860919
2016-06-21 22:04:51	Start Pre-Purge	2,881079
2016-06-21 22:04:51	Start Pre-Purge	2,901090
2016-06-21 22:04:51	Start Pre-Purge	2,921104
2016-06-21 22:04:52	Start Pre-Purge	2,941119
2016-06-21 22:04:52	Start Pre-Purge	2,961131
2016-06-21 22:04:52	Start Pre-Purge	2,981146
2016-06-21 22:04:52	Start Pre-Purge	3,001156
2016-06-21 22:04:52	Start Pre-Purge	3,021169
2016-06-21 22:04:52	Start Pre-Purge	3,041184
2016-06-21 22:04:52	Start Pre-Purge	3,062199
2016-06-21 22:04:52	Start Pre-Purge	3,082266
2016-06-21 22:04:52	Start Pre-Purge	3,102276
2016-06-21 22:04:52	Start Pre-Purge	3,122314
2016-06-21 22:04:52	Start Pre-Purge	3,141727
2016-06-21 22:04:52	Start Pre-Purge	3,162748
2016-06-21 22:04:52	Start Pre-Purge	3,182977
2016-06-21 22:04:52	Start Pre-Purge	3,203062
2016-06-21 22:04:52	Start Pre-Purge	3,223134
2016-06-21 22:04:52	Start Pre-Purge	3,243342
2016-06-21 22:04:52	Start Pre-Purge	3,263416
2016-06-21 22:04:52	Start Pre-Purge	3,283653
2016-06-21 22:04:52	Start Pre-Purge	3,303662
2016-06-21 22:04:52	Start Pre-Purge	3,331680
2016-06-21 22:04:52	Start Pre-Purge	3,351693
2016-06-21 22:04:52	Start Pre-Purge	3,371708
2016-06-21 22:04:52	Start Pre-Purge	3,391719
2016-06-21 22:04:52	Start Pre-Purge	3,411735
2016-06-21 22:04:52	Start Pre-Purge	3,431748
2016-06-21 22:04:52	Start Pre-Purge	3,451761
2016-06-21 22:04:52	Start Pre-Purge	3,471775
2016-06-21 22:04:52	Start Pre-Purge	3,492789
2016-06-21 22:04:52	Start Pre-Purge	3,512805
2016-06-21 22:04:52	Start Pre-Purge	3,532903
2016-06-21 22:04:52	Start Pre-Purge	3,553102
2016-06-21 22:04:52	Start Pre-Purge	3,573310
2016-06-21 22:04:52	Start Pre-Purge	3,593458
2016-06-21 22:04:52	Start Pre-Purge	3,613638
2016-06-21 22:04:52	Start Pre-Purge	3,632794
2016-06-21 22:04:52	Start Pre-Purge	3,652928
2016-06-21 22:04:52	Start Pre-Purge	3,673085
2016-06-21 22:04:52	Start Pre-Purge	3,693188
2016-06-21 22:04:52	Start Pre-Purge	3,713379
2016-06-21 22:04:52	Start Pre-Purge	3,732711
2016-06-21 22:04:52	Start Pre-Purge	3,752935
2016-06-21 22:04:52	Start Pre-Purge	3,773181
2016-06-21 22:04:52	Start Pre-Purge	3,793571
2016-06-21 22:04:52	Start Pre-Purge	3,812704
2016-06-21 22:04:52	Start Pre-Purge	3,832747
2016-06-21 22:04:52	Start Pre-Purge	3,852952
2016-06-21 22:04:52	Start Pre-Purge	3,873290
2016-06-21 22:04:52	Start Pre-Purge	3,893515
2016-06-21 22:04:52	Start Pre-Purge	3,912677
2016-06-21 22:04:52	Start Pre-Purge	3,932862
2016-06-21 22:04:53	Start Pre-Purge	3,952887
2016-06-21 22:04:53	Start Pre-Purge	3,973183
2016-06-21 22:04:53	Start Pre-Purge	3,993403
2016-06-21 22:04:53	Start Pre-Purge	4,013610
2016-06-21 22:04:53	Start Pre-Purge	4,032910
2016-06-21 22:04:53	Start Pre-Purge	4,052952
2016-06-21 22:04:53	Start Pre-Purge	4,072997
2016-06-21 22:04:53	Start Pre-Purge	4,094228
2016-06-21 22:04:53	Start Pre-Purge	4,114234
2016-06-21 22:04:53	Start Pre-Purge	4,134250
2016-06-21 22:04:53	Start Pre-Purge	4,154263
2016-06-21 22:04:53	Start Pre-Purge	4,174276
2016-06-21 22:04:53	Start Pre-Purge	4,194287
2016-06-21 22:04:53	Start Pre-Purge	4,214301
2016-06-21 22:04:53	Start Pre-Purge	4,234314
2016-06-21 22:04:53	Start Pre-Purge	4,254327
2016-06-21 22:04:53	Start Pre-Purge	4,274341
2016-06-21 22:04:53	Start Pre-Purge	4,294357
2016-06-21 22:04:53	Start Pre-Purge	4,315575
2016-06-21 22:04:53	Start Pre-Purge	4,336603
2016-06-21 22:04:53	Start Pre-Purge	4,356647
2016-06-21 22:04:53	Start Pre-Purge	4,375853
2016-06-21 22:04:53	Start Pre-Purge	4,395965
2016-06-21 22:04:53	Start Pre-Purge	4,416139
2016-06-21 22:04:53	Start Pre-Purge	4,436210
2016-06-21 22:04:53	Start Pre-Purge	4,456411
2016-06-21 22:04:53	Start Pre-Purge	4,475747
2016-06-21 22:04:53	Start Pre-Purge	4,495962
2016-06-21 22:04:53	Start Pre-Purge	4,515974
2016-06-21 22:04:53	Start Pre-Purge	4,535989
2016-06-21 22:04:53	Start Pre-Purge	4,556000
2016-06-21 22:04:53	Start Pre-Purge	4,576013
