Timestamp,Event,Event data
2016-05-26 19:36:08,Pre-Purge,0,070045
2016-05-26 19:36:08,Pre-Purge,0,071047
2016-05-26 19:36:08,Pre-Purge,0,072047
2016-05-26 19:36:08,Pre-Purge,0,072047
2016-05-26 19:36:08,Pre-Purge,0,073047
2016-05-26 19:36:08,Pre-Purge,0,073047
2016-05-26 19:36:08,Pre-Purge,0,074048
2016-05-26 19:36:08,Pre-Purge,0,075048
2016-05-26 19:36:08,Pre-Purge,0,075048
2016-05-26 19:36:08,Pre-Purge,0,076049
2016-05-26 19:36:08,Pre-Purge,0,076049
2016-05-26 19:36:08,Pre-Purge,0,077049
2016-05-26 19:36:08,Pre-Purge,0,077049
2016-05-26 19:36:08,Pre-Purge,0,078051
2016-05-26 19:36:08,Pre-Purge,0,079051
2016-05-26 19:36:08,Pre-Purge,0,079051
2016-05-26 19:36:08,Pre-Purge,0,080052
2016-05-26 19:36:08,Pre-Purge,0,081053
2016-05-26 19:36:08,Pre-Purge,0,081053
2016-05-26 19:36:08,Pre-Purge,0,082053
2016-05-26 19:36:08,Pre-Purge,0,082053
2016-05-26 19:36:08,Pre-Purge,0,083054
2016-05-26 19:36:08,Pre-Purge,0,084055
2016-05-26 19:36:08,Pre-Purge,0,084055
2016-05-26 19:36:08,Pre-Purge,0,085055
2016-05-26 19:36:08,Pre-Purge,0,085055
2016-05-26 19:36:08,Pre-Purge,0,086055
2016-05-26 19:36:08,Pre-Purge,0,086055
2016-05-26 19:36:08,Pre-Purge,0,087057
2016-05-26 19:36:08,Pre-Purge,0,088059
2016-05-26 19:36:08,Pre-Purge,0,088059
2016-05-26 19:36:08,Pre-Purge,0,089058
2016-05-26 19:36:08,Pre-Purge,0,089058
2016-05-26 19:36:08,Pre-Purge,0,090059
2016-05-26 19:36:08,Pre-Purge,0,091059
2016-05-26 19:36:08,Pre-Purge,0,091059
2016-05-26 19:36:08,Pre-Purge,0,092060
2016-05-26 19:36:08,Pre-Purge,0,093061
2016-05-26 19:36:08,Pre-Purge,0,093061
2016-05-26 19:36:08,Pre-Purge,0,094061
2016-05-26 19:36:08,Pre-Purge,0,094061
2016-05-26 19:36:08,Pre-Purge,0,095062
2016-05-26 19:36:08,Pre-Purge,0,095062
2016-05-26 19:36:08,Pre-Purge,0,096063
2016-05-26 19:36:08,Pre-Purge,0,096063
