Timestamp,Event,Event Data
16:11:03,131 2016-05-26,Forced Draft Fan ON,True 
16:11:03,231 2016-05-26,Boiler Running,19,05 
16:11:09,339 2016-05-26,Start Shutdown Purge,0,00 
16:11:09,438 2016-05-26,Start Shutdown Purge,0,10 
16:11:09,538 2016-05-26,Start Shutdown Purge,0,20 
16:11:09,638 2016-05-26,Start Shutdown Purge,0,30 
16:11:09,738 2016-05-26,Start Shutdown Purge,0,40 
16:11:09,838 2016-05-26,Start Shutdown Purge,0,50 
16:11:09,938 2016-05-26,Start Shutdown Purge,0,60 
16:11:10,039 2016-05-26,Start Shutdown Purge,0,70 
16:11:10,139 2016-05-26,Start Shutdown Purge,0,80 
16:11:10,239 2016-05-26,Start Shutdown Purge,0,90 
16:11:10,339 2016-05-26,Start Shutdown Purge,1,00 
16:11:10,439 2016-05-26,Start Shutdown Purge,1,10 
16:11:10,539 2016-05-26,Start Shutdown Purge,1,20 
16:11:10,639 2016-05-26,Start Shutdown Purge,1,30 
16:11:10,739 2016-05-26,Start Shutdown Purge,1,40 
16:11:10,839 2016-05-26,Start Shutdown Purge,1,50 
16:11:10,939 2016-05-26,Start Shutdown Purge,1,60 
16:11:11,040 2016-05-26,Start Shutdown Purge,1,70 
16:11:11,141 2016-05-26,Start Shutdown Purge,1,80 
16:11:11,240 2016-05-26,Start Shutdown Purge,1,90 
16:11:11,340 2016-05-26,Start Shutdown Purge,2,00 
16:11:11,440 2016-05-26,Start Shutdown Purge,2,10 
16:11:11,542 2016-05-26,Start Shutdown Purge,2,20 
16:11:11,642 2016-05-26,Start Shutdown Purge,2,30 
16:11:11,741 2016-05-26,Start Shutdown Purge,2,40 
16:11:11,841 2016-05-26,Start Shutdown Purge,2,50 
16:11:11,941 2016-05-26,Start Shutdown Purge,2,60 
16:11:12,041 2016-05-26,Start Shutdown Purge,2,70 
16:11:12,141 2016-05-26,Start Shutdown Purge,2,80 
16:11:12,241 2016-05-26,Start Shutdown Purge,2,90 
16:11:12,341 2016-05-26,Start Shutdown Purge,3,00 
16:11:12,441 2016-05-26,Start Shutdown Purge,3,10 
16:11:12,541 2016-05-26,Start Shutdown Purge,3,20 
16:11:12,641 2016-05-26,Start Shutdown Purge,3,30 
16:11:12,741 2016-05-26,Start Shutdown Purge,3,40 
16:11:12,841 2016-05-26,Start Shutdown Purge,3,50 
16:11:12,942 2016-05-26,Start Shutdown Purge,3,60 
16:11:13,041 2016-05-26,Start Shutdown Purge,3,70 
16:11:13,141 2016-05-26,Start Shutdown Purge,3,80 
16:11:13,241 2016-05-26,Start Shutdown Purge,3,90 
16:11:13,341 2016-05-26,Start Shutdown Purge,4,00 
16:11:13,441 2016-05-26,Start Shutdown Purge,4,10 
16:11:13,541 2016-05-26,Start Shutdown Purge,4,20 
16:11:13,641 2016-05-26,Start Shutdown Purge,4,30 
16:11:13,741 2016-05-26,Start Shutdown Purge,4,40 
16:11:13,841 2016-05-26,Start Shutdown Purge,4,50 
16:11:13,942 2016-05-26,Start Shutdown Purge,4,60 
16:11:14,043 2016-05-26,Start Shutdown Purge,4,70 
16:11:14,143 2016-05-26,Start Shutdown Purge,4,80 
16:11:14,245 2016-05-26,Start Shutdown Purge,4,91 
16:11:14,345 2016-05-26,Start Shutdown Purge,5,01 
16:11:14,444 2016-05-26,Start Shutdown Purge,5,11 
16:11:14,544 2016-05-26,Start Shutdown Purge,5,21 
16:11:14,644 2016-05-26,Start Shutdown Purge,5,31 
16:11:14,744 2016-05-26,Start Shutdown Purge,5,41 
16:11:14,844 2016-05-26,Start Shutdown Purge,5,51 
16:11:14,945 2016-05-26,Start Shutdown Purge,5,61 
16:11:15,045 2016-05-26,Start Shutdown Purge,5,71 
16:11:15,146 2016-05-26,Start Shutdown Purge,5,81 
16:11:15,246 2016-05-26,Start Shutdown Purge,5,91 
16:11:15,346 2016-05-26,Start Shutdown Purge,6,01 
16:11:15,446 2016-05-26,Start Shutdown Purge,6,11 
16:11:15,546 2016-05-26,Start Shutdown Purge,6,21 
16:11:15,646 2016-05-26,Start Shutdown Purge,6,31 
16:11:15,746 2016-05-26,Start Shutdown Purge,6,41 
16:11:15,846 2016-05-26,Start Shutdown Purge,6,51 
16:11:15,946 2016-05-26,Start Shutdown Purge,6,61 
16:11:16,046 2016-05-26,Start Shutdown Purge,6,71 
16:11:16,147 2016-05-26,Start Shutdown Purge,6,81 
16:11:16,247 2016-05-26,Start Shutdown Purge,6,91 
16:11:16,347 2016-05-26,Start Shutdown Purge,7,01 
16:11:16,447 2016-05-26,Start Shutdown Purge,7,11 
16:11:16,547 2016-05-26,Start Shutdown Purge,7,21 
16:11:16,647 2016-05-26,Start Shutdown Purge,7,31 
16:11:16,747 2016-05-26,Start Shutdown Purge,7,41 
16:11:16,847 2016-05-26,Start Shutdown Purge,7,51 
16:11:16,947 2016-05-26,Start Shutdown Purge,7,61 
16:11:17,047 2016-05-26,Start Shutdown Purge,7,71 
16:11:17,147 2016-05-26,Start Shutdown Purge,7,81 
16:11:17,247 2016-05-26,Start Shutdown Purge,7,91 
16:11:17,347 2016-05-26,Start Shutdown Purge,8,01 
16:11:17,447 2016-05-26,Start Shutdown Purge,8,11 
16:11:17,547 2016-05-26,Start Shutdown Purge,8,21 
16:11:17,647 2016-05-26,Start Shutdown Purge,8,31 
16:11:17,747 2016-05-26,Start Shutdown Purge,8,41 
16:11:17,848 2016-05-26,Start Shutdown Purge,8,51 
16:11:17,947 2016-05-26,Start Shutdown Purge,8,61 
16:11:18,047 2016-05-26,Start Shutdown Purge,8,71 
16:11:18,147 2016-05-26,Start Shutdown Purge,8,81 
16:11:18,255 2016-05-26,Start Shutdown Purge,8,92 
16:11:18,355 2016-05-26,Start Shutdown Purge,9,02 
16:11:18,455 2016-05-26,Start Shutdown Purge,9,12 
16:11:18,555 2016-05-26,Start Shutdown Purge,9,22 
16:11:18,655 2016-05-26,Start Shutdown Purge,9,32 
16:11:18,755 2016-05-26,Start Shutdown Purge,9,42 
16:11:18,856 2016-05-26,Start Shutdown Purge,9,52 
16:11:18,956 2016-05-26,Start Shutdown Purge,9,62 
16:11:19,056 2016-05-26,Start Shutdown Purge,9,72 
16:11:19,157 2016-05-26,Start Shutdown Purge,9,82 
16:11:19,257 2016-05-26,Start Shutdown Purge,9,92 
